C: [1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100]
B: [1	2	3	4	5	6	7	8	9	10] 

a: [450	400	500	460	450	480	450	400	500	460] 
e: [505	405	510	450	455	515	460	445	450	410] 
d: [10	7	13	19	26	3	5	9	16	16	12	19	23	20	8	19	2	12	17	9	11	18	29	3	6	17	16	16	9	21	27	23	11	14	8	5	8	16	31	9	5	5	7	18	16	1	27	36	30	13	10	9	14	18	2	6	7	18	28	3	13	19	10	9	20	25	25	36	6	5	15	25	9	8	18	13	14	3	23	6	26	16	11	7	41	35	26	9	15	3	1	2	22	27	20	11	12	10	9	17] 
f: [27	20	37	11	18	43	28	22	9	27
    40	27	33	26	17	61	61	21	31	43
    41	32	49	9	26	57	31	15	23	42
    51	38	50	22	28	71	56	10	36	53
    21	14	9	34	16	41	58	37	25	24
    24	11	19	24	7	45	52	27	19	26
    6	9	20	29	19	25	40	38	12	7
    9	13	9	37	23	27	52	44	23	12
    42	37	54	22	35	53	17	30	26	41
    18	20	34	26	26	28	26	37	12	17
    15	24	33	37	33	17	32	47	21	13
    39	28	43	6	19	58	41	5	22	41
    31	17	25	23	9	52	55	23	23	33
    41	32	26	44	29	60	75	42	42	44
    49	37	38	39	29	69	74	33	43	52
    31	25	15	42	25	49	69	43	36	34
    23	21	5	43	26	39	64	47	32	26
    13	3	14	27	13	34	47	34	14	15
    9	21	26	38	31	15	38	48	21	6
    34	33	48	25	34	42	12	36	21	33
    44	30	41	20	20	65	56	12	31	46
    51	38	45	30	28	72	66	21	40	54
    62	48	57	36	38	82	71	25	49	64
    53	42	58	19	34	71	44	14	35	54
    60	47	60	27	37	79	58	16	43	61
    37	25	38	10	15	57	46	7	22	39
    24	12	28	12	7	43	39	20	9	25
    30	18	34	7	10	50	40	13	14	32
    51	41	57	17	34	67	37	17	33	51
    28	25	41	21	28	38	19	32	14	27
    17	14	29	20	18	33	31	30	4	17
    28	30	44	31	35	32	17	43	21	26
    39	32	49	13	28	53	24	22	21	39
    51	44	61	23	40	64	26	28	34	51
    51	47	64	30	45	60	17	37	35	50
    15	28	25	49	39	9	51	58	32	13
    32	21	20	34	18	52	64	34	30	35
    47	40	30	55	39	64	84	53	51	50
    60	47	58	31	36	81	65	20	46	62
    37	23	34	17	13	57	52	13	24	39
    52	39	45	33	29	73	69	25	42	55
    40	29	29	36	23	61	69	33	37	43
    49	38	36	44	32	69	78	40	46	52
    37	30	21	44	28	56	73	44	40	40
    15	17	3	41	25	31	58	47	28	18
    12	22	14	46	32	21	56	53	30	13
    8	21	21	42	32	14	47	51	25	6
    1	15	18	36	25	20	44	45	19	2
    19	32	33	50	42	3	45	60	33	16
    33	25	42	7	21	49	29	18	15	34
    36	31	48	18	30	47	18	28	20	35
    15	4	22	20	10	35	40	28	7	17
    30	17	30	13	7	51	47	15	18	33
    48	36	50	15	26	67	48	5	31	50
    56	44	57	23	34	76	55	13	40	58
    55	42	51	29	31	76	64	18	42	57
    43	30	34	32	22	64	66	27	36	46
    33	20	30	18	9	54	52	16	22	36
    28	17	18	31	14	48	60	32	26	31
    17	9	10	31	14	38	53	35	21	20
    27	20	12	38	21	46	64	40	31	30
    12	17	29	29	25	24	32	40	13	11
    22	28	39	35	35	24	24	46	22	20
    26	37	43	49	46	14	35	60	34	23
    55	53	69	40	53	60	12	48	42	53
    41	41	57	33	43	46	3	43	30	40
    70	57	67	40	46	91	73	29	55	72
    44	33	49	9	25	61	37	10	26	45
    23	15	32	12	14	40	32	23	5	24
    24	21	37	19	23	36	24	30	9	23
    46	43	60	30	43	54	11	38	32	45
    48	35	44	24	24	69	60	15	35	50
    45	32	41	23	21	66	59	15	33	48
    50	36	45	27	26	71	63	18	38	52
    53	40	48	29	29	74	65	19	41	55
    36	26	43	3	20	53	34	12	18	37
    40	30	47	7	24	56	33	13	22	41
    47	40	57	18	35	60	26	24	29	47
    43	35	52	13	30	58	29	19	25	43
    44	33	49	9	25	62	39	8	26	45
    41	35	52	16	31	54	23	24	24	41
    4	10	14	33	21	25	45	41	17	7
    14	10	7	33	17	34	53	39	21	17
    20	16	6	37	20	39	60	41	27	23
    29	20	16	36	19	49	64	37	31	32
    34	30	17	48	31	51	74	49	41	37
    36	24	27	29	16	57	62	27	30	39
    12	11	25	24	19	29	34	34	7	12
    20	7	19	22	5	41	48	26	14	22
    23	27	40	31	33	28	21	43	19	21
    32	23	18	38	22	51	67	39	34	35
    30	19	20	31	15	51	61	31	28	33
    27	18	16	33	16	47	61	35	28	30
    27	14	21	25	9	48	55	26	22	30
    29	17	21	27	12	50	58	28	25	32
    25	14	17	28	11	46	56	30	23	28
    32	20	23	29	14	53	60	28	28	35
    30	20	18	34	18	51	63	34	30	33
    26	15	16	30	14	46	58	32	25	29
    33	24	20	36	21	53	66	36	33	36]
